#{"t_start": 1743878026.4469059, "env_id": "None"}
r,l,t
23.87801,72,916.359297
23.87801,72,918.077848
23.87801,72,919.438923
23.87801,72,920.848418
23.82801,72,922.217299
23.87801,72,923.680638
24.57601,74,925.304502
23.87801,72,926.659242
23.87801,72,928.050647
23.87801,72,929.915409
24.27701,73,931.35324
23.87801,72,933.309834
23.87801,72,934.614881
23.87801,72,936.554818
23.82801,72,937.945589
23.82801,72,939.824664
23.87801,72,941.315902
23.82801,72,943.123861
24.27701,73,944.860702
23.87801,72,946.662326
23.329008,71,947.980481
23.728008,72,954.929531
23.87801,72,956.244947
23.87801,72,957.571512
23.87801,72,959.119637
23.87801,72,960.560724
23.87801,72,962.110417
23.87801,72,963.582952
23.87801,72,964.886583
23.82801,72,966.184024
23.87801,72,967.481449
23.87801,72,968.990371
23.87801,72,970.594067
23.329008,71,972.194297
23.87801,72,974.077699
23.87801,72,975.41666
23.87801,72,976.846526
23.82801,72,978.160789
23.87801,72,980.087132
23.87801,72,981.423858
23.87801,72,983.12719
23.87801,72,984.537409
23.87801,72,985.852665
23.329008,71,987.121175
23.87801,72,988.418151
23.82801,72,990.428889
23.87801,72,991.821737
23.728008,72,993.704888
23.87801,72,995.124154
23.87801,72,1002.153895
23.87801,72,1003.549077
23.87801,72,1004.815012
23.87801,72,1006.143417
23.87801,72,1007.483196
23.82801,72,1008.887574
24.57601,74,1010.514596
23.87801,72,1011.879364
23.87801,72,1013.189723
23.87801,72,1014.974763
23.87801,72,1016.28107
23.87801,72,1018.211212
23.82801,72,1019.576011
22.880009,70,1021.424667
23.87801,72,1022.871381
23.87801,72,1024.957229
23.87801,72,1026.313364
23.87801,72,1028.146015
23.87801,72,1029.487784
23.87801,72,1031.514976
23.87801,72,1032.992885
23.87801,72,1034.834795
23.329008,71,1036.106484
23.87801,72,1037.451221
23.87801,72,1038.874985
23.87801,72,1040.735085
23.82801,72,1042.322797
23.87801,72,1044.063546
23.87801,72,1045.366709
23.82801,72,1051.608551
23.87801,72,1052.921387
23.87801,72,1054.307432
23.87801,72,1055.643085
24.57601,74,1057.070295
23.87801,72,1058.421838
23.87801,72,1060.056851
23.87801,72,1061.408189
23.87801,72,1063.224467
23.87801,72,1064.817699
23.87801,72,1066.595954
23.87801,72,1068.105418
23.329008,71,1069.790669
23.87801,72,1071.220671
23.87801,72,1073.171553
23.87801,72,1074.622952
23.87801,72,1076.087973
23.87801,72,1077.392727
23.87801,72,1078.809531
23.87801,72,1080.776625
23.87801,72,1082.248009
23.87801,72,1084.520714
23.87801,72,1086.291386
23.87801,72,1087.756672
23.87801,72,1089.094185
23.87801,72,1090.446779
23.82801,72,1091.841376
23.87801,72,1093.40046
23.82801,72,1102.196352
23.87801,72,1103.487677
23.87801,72,1104.850861
23.87801,72,1106.136124
23.87801,72,1107.495003
23.87801,72,1108.958226
